Date,Close,High,Low,Open,Volume
1490813708,830.4200,830.4200,830.2900,830.2900,200
1490813803,830.4999,830.4999,830.4999,830.4999,100
1490813823,830.5850,830.6000,830.4999,830.4999,1600
1490813893,830.5600,830.6340,830.5100,830.6340,1500
1490813946,830.6900,830.7690,830.4999,830.5400,4100
1490814033,830.6300,830.6800,830.5500,830.6600,1000
1490814070,830.6500,830.7150,830.6000,830.6000,9500
1490814132,830.5100,830.6000,830.5100,830.6000,2400
1490814181,830.6500,830.6500,830.4900,830.4900,3800
1490814259,830.7700,830.7700,830.5901,830.5901,2400
1490814315,830.8900,830.8900,830.6900,830.6900,1700
1490814364,830.9700,830.9720,830.8831,830.8831,6700
1490814423,830.9900,831.0100,830.9000,830.9200,6400
1490814495,831.0900,831.0900,831.0700,831.0700,800
1490814542,831.2300,831.2400,831.1000,831.1801,2800
1490814604,831.1400,831.2900,831.0800,831.1900,1800
1490814665,831.0700,831.1550,831.0200,831.1550,2300
1490814737,831.0800,831.1000,831.0000,831.0800,4600
1490814782,831.1500,831.2200,830.9500,830.9500,3200
1490814842,831.1000,831.2400,831.1000,831.2300,1400
1490814906,831.1865,831.2650,831.1300,831.1500,2400
1490814960,831.3799,831.4000,831.2500,831.3500,4000
1490815036,831.3200,831.3650,831.3100,831.3250,4300
1490815105,831.4600,831.5001,831.3600,831.3600,2800
1490815153,831.5900,831.5900,831.5500,831.5500,900
1490815202,831.7200,831.7200,831.5100,831.5819,3300
1490815260,831.8800,831.8800,831.7000,831.7500,53100
1490815324,831.9500,831.9500,831.8000,831.8000,1300
1490815382,831.9300,831.9600,831.8400,831.9100,141200
1490815441,831.7680,831.9450,831.7680,831.9450,16400
1490815501,832.0450,832.0450,831.5700,831.7475,4000
1490815614,832.0000,832.2200,831.9600,832.0900,3900
1490815620,832.1980,832.2400,831.9900,832.0205,3300
1490815693,832.0800,832.1160,832.0800,832.1160,1300
1490815802,832.2800,832.2800,832.1650,832.1650,1200
1490815860,832.4180,832.5800,832.3300,832.3300,6100
1490815978,832.6500,832.7300,832.4200,832.4200,3100
1490815981,832.6400,832.7650,832.6100,832.6350,6300
1490816048,832.4300,832.6100,832.4300,832.6000,3600
1490816110,832.2300,832.3508,832.0700,832.3508,3700
1490816176,832.3900,832.3900,832.2623,832.3500,1900
